N,Page,ID,Name,Author,Description,Tags,Sensors
207,14,2398760,ESP32_TTGO_SCD40_02,mwa0000020835873,,"['esp32', 'scd40']",Unknown
208,14,1351543,AIRQO-G510 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor Mpelerwe),[],Unknown
209,14,2232307,Tide gauge Arrota - ...,mwa0000030698163,,"['tide', 'portugal', 'ultrasonic', 'water level']","water, ultrasonic"
210,14,1375494,AIRQO-G526 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,[],Unknown
211,15,1375494,AIRQO-G526 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,[],Unknown
212,15,2907993,應研感潮河段 PET - Temp,mwa0000029068820,應研感潮河段 PET - Temp,[],temp
213,15,2907990,應研感潮河段 PET - EC,mwa0000029068820,應研感潮河段 PET - EC,[],Unknown
214,15,2907984,應研感潮河段 PET - pH,mwa0000029068820,應研感潮河段 PET - pH,[],Unknown
215,15,1379967,AIRQO-G534 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor,[],Unknown
216,15,2628031,Model Node 1 Data,mwa0000026450695,"Temperature every 5 minutes, Soil Moisture every 2 hours, Analog Voltage every 20 seconds.",[],"temperature, temp, soil, moisture, voltage"
217,15,1290037,AIRQO-G501 UNIT ACTIVE,airqodata02,"AirQo Generation 5 monitor,Makerere University",[],Unknown
218,15,1795095,SDS011 sensor,mwa0000023022422,"UCSI University, Data Communication Assignment",[],Unknown
219,15,3242279,Experiment - Yago Rivas,mwa0000040289044,Class Project,[],Unknown
220,15,1739561,AirQo_G574,airqodata02,Vanguard Primary School,[],Unknown
221,15,2442954,IOT LAB,mwa0000033092750,Lab Work,[],Unknown
222,15,2532686,AIRQO_G5329,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
223,15,2539217,AIRQO_G5338,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
224,15,1417856,Air Pollution Monito...,mwa0000022829983,,['air pollution monitoring system'],Unknown
225,15,2084599,AirQo-G5164,airqodata02,Air quality monitor for kisumu county hospital,[],air quality
226,16,2084599,AirQo-G5164,airqodata02,Air quality monitor for kisumu county hospital,[],air quality
227,16,1741916,Internet,mwa0000026564968,2022年度インターネット実践のWebアプリ作成用,[],Unknown
228,16,1014692,AIRQO-95 UNIT ACTIVE,airqodata02,AirQo Gen4 unit,[],Unknown
229,16,2963645,airqo_g5499,airqodata02,Nyabuhama Primary School,[],Unknown
230,16,930427,AIRQO-72 UNIT ACTIVE,airqodata02,AirQo unit with Dual PMS5003 sensors Salama Road Makindye,[],Unknown
231,16,813014,Air control,vitalym39,Air control,[],Unknown
232,16,1358288,Dew Point Measurement,mwa0000020318085,First Thing We Are Doing,[],Unknown
233,16,1461499,DewpointB2105,darshitashah45,this channel calculates the dew point,[],Unknown
234,16,1069904,Dashboard,mwa0000017752288,Monitoring station,[],Unknown
235,16,1665915,Optimum Resource All...,mwa0000025770886,Creating and Testing application benchmark for optimum resource allocation in cloud,[],Unknown
236,16,2464495,Smart Electricity Mo...,mwa0000030705680,Data taken from channel 1535887,[],Unknown
237,16,2874856,airqo_g5463,airqodata02,Kaburangi COU,[],Unknown
238,16,2841345,IoT lab 3,mwa0000034812782,weather station data analysis,[],Unknown
239,16,1014437,Testing,mwa0000017755613,test MQTT,[],Unknown
240,16,1282005,DEW PONT MEASUREMENT,mwa0000020854172,ANAL,[],Unknown
241,17,1014437,Testing,mwa0000017755613,test MQTT,[],Unknown
242,17,1282005,DEW PONT MEASUREMENT,mwa0000020854172,ANAL,[],Unknown
243,17,1454747,Mesure de la tempéra...,yannlouis,,"['dht22', 'humidité']",dht22
244,17,2238364,Dew Point Measurement,mwa0000030756036,USP PSI3452,[],Unknown
245,17,1646224,Task2_VIT,mwa0000017045654,iot DA lab 2,[],Unknown
246,17,2547024,Dew point calculation,mwa0000033988948,description,[],Unknown
247,17,2442956,distance finding,mwa0000028295592,calculating distance between object and sensor,[],Unknown
248,17,3255411,WeatherTest,mwa0000018981102,Test,[],Unknown
249,17,2539231,AIRQO_G5345,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
250,17,1275088,Ababuj - Cerrada del...,Jsoromom,V11.0,[],Unknown
251,17,2874906,airqo_g5481,airqodata02,Ruti Health Center II,[],Unknown
252,17,1909594,Dew Point,mwa0000028003499,Training exercise to measure the dew point on Mathworks weather center.,[],rain
253,17,1373036,AIRQO-G516 UNIT ACTIVE,airqodata02,"AirQo Gen5 monitor Buto,bweyogerere",[],Unknown
254,17,2857186,Air Quality Indexes,mwa0000030509287,This is an assignment for data communication and networks,[],Unknown
255,17,1290040,AIRQO-G504 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor,[],Unknown
256,18,2666133,Dew point measurement,mwa0000031077054,This channel depicts the dew point measured,[],Unknown
257,18,1363163,Data1,mwa0000017881843,lab project,[],Unknown
258,18,1371822,AIRQO-G513 UNIT ACTIVE,airqodata02,"AirQo Generation 5 monitor Nsawo, Namugongo",[],Unknown
259,18,2084575,AirQo-G5152,airqodata02,Air quality monitor for kisumu railway station,[],air quality
260,18,967600,AIRQO-88 UNIT ACTIVE,airqodata02,AirQo Gen4 unit,[],Unknown
261,18,1465722,IoT-Device1,mwa0000023445123,First Thing Speak Channel,[],Unknown
262,18,2532711,AIRQO_G5334,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
263,18,2084579,AirQo-G5155,airqodata02,Air quality monitor for kisumu social centre,[],air quality
264,18,1730401,Dew Point Measurement,mwa0000012207092,Prueba,[],Unknown
265,18,1295802,SoundAndLight,furryinteractive,Channel showing charts related to sound and light sensor,[],"light, sound"
266,18,912221,AIRQO-66 UNIT ACTIVE,airqodata02,AirQo unit with dual pms5003 sensors Embassy of Sweden Loc B,[],Unknown
267,18,755614,AIRQO-44 UNIT ACTIVE,airqodata02,"AIRQO UNIT with PMS5003 at The Surgery Naguru, Kampala",[],Unknown
268,18,1373039,AIRQO-G519 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,[],Unknown
269,18,2977941,Stats,LN90009,statistics,[],Unknown
270,18,2963751,airqo_g5519,airqodata02,St. Joseph's Vocational School Mbarara,[],Unknown
271,19,1003815,Dew Point Measuring,mwa0000017654285,Liam Fleming,[],Unknown
272,19,1651885,AirQo_G559,airqodata02,Airqo Gen5 Deviec,[],Unknown
273,19,2033319,IoT_1,mwa0000019573476,IoT_CV_1_Description,[],Unknown
274,19,1290041,AIRQO-G505 UNIT ACTIVE,airqodata02,"AirQo Generation 5 monitor Bukasa,kirinya",[],Unknown
275,19,2084584,AirQo-G5157,airqodata02,Air quality monitor for JOOTRH,[],air quality
276,19,870144,AIRQO-60 UNIT ACTIVE,airqodata02,"AirQo unit with dual pms5003 sensor Bbina Luzira, Kampala",[],Unknown
277,19,1371829,AIRQO-G514 UNIT ACTIVE,airqodata02,"AirQo generation 5 monitor,Kitukutwe",[],Unknown
278,19,1575532,AirQo_G537 Unit ACtive,airqodata02,AirQo Generation 5 monitor Busia,[],Unknown
279,19,930433,AIRQO-78 UNIT ACTIVE,airqodata02,AirQo unit with Dual PMS5003 sensors,[],Unknown
280,19,1265118,PutraBudiansyah,mwa0000020676694,TugasPBSmod10a,[],gas
281,19,966569,channel_bed2,mwa0000017319734,this channel presents the services of bed2,[],Unknown
282,19,1003910,Dew Point Measurement,mwa0000017030841,Using Channel 12397,[],Unknown
283,19,1379965,AIRQO-G532 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor,[],Unknown
284,19,3000918,airqo_g5544,airqodata02,St. Mary's Primary School Mbarara,[],Unknown
285,19,999913,Dew Point Measurement,gerryheapes,Calculation of dew point for remote location using data from sensors and Matlab.,[],Unknown
286,20,689766,AIRQO-WB27 UNIT ACTIVE,airqodata02,"Pramukh steel, Jinja",[],Unknown
287,20,2511026,Dew Point Measurement,mwa0000023798750,This is to measure the temperature humidity and dew point,[],"temperature, temp, humidity"
288,20,730016,AIRQO-WB34UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Victoria S,[],Unknown
289,20,689525,AIRQO-WB17 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Bududa,[],Unknown
290,20,2874829,airqo_g5455,airqodata02,Nyamityobora Health Center II,[],Unknown
291,20,2227427,Segeberger Beute Nr 1,mwa0000030644087,Carnica,[],Unknown
292,20,1260917,pendeteksi suhu rumah,mwa0000020641911,pendeteksi suhu rumah secara realtime,[],Unknown
293,20,2869548,Weather Analysis (Sh...,mwa0000029700406,Data Communication Jan'25 Assignment,[],Unknown
294,20,816482,Dew Ppoint Measureme...,ofigaroa,Example Mathworks,[],Unknown
295,20,1264952,RidhoPB,mwa0000020674932,Ridho Prawira Bahari - 6706184065 tugas praktikum pbs mod 10,[],gas
296,20,1003787,Dew Point Measurement,mwa0000017060118,Info coming from MatLab HQ,[],Unknown
297,20,1193361,IoT,mwa0000018333133,Familiarización con ThingSpeak,[],Unknown
298,20,2332960,SugarValley,mwa0000031790061,Temperatura,[],temp
299,20,2539225,AIRQO_G5341,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
300,20,2880926,DCM test UCSI Block E,mwa0000023141307,This is a channel created for Data Communication Assignment. It shows the DCM test at the Block E of UCSI University Kuala Lumpur campus.,[],Unknown
301,21,689753,AIRQO-WB23 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Jinja Main Street,[],Unknown
302,21,3269722,HALITH,mwa0000040506242,IOT PROJECT,[],Unknown
303,21,870147,AIRQO-63 UNIT ACTIVE,airqodata02,AirQo unit with dual pms5003 sensor Nansana town council,[],Unknown
304,21,1351535,AIRQO-G507 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor,[],Unknown
305,21,2111612,Práctica 2,mwa0000016011106,Práctica 2: Sistema de Ingeniería de la Información,[],Unknown
306,21,3000994,airqo_g5570,airqodata02,Biharwe Health Center III,[],Unknown
307,21,3269751,Temperature and humi...,vishnujayadhevan,Temparture data from the sensor,[],temp
308,21,2366525,Dew Point Measurement,mwa0000027121379,Just learning,[],Unknown
309,21,1802399,Data Comm Assignment...,mwa0000017524090,IoT Analytic project,[],Unknown
310,21,912222,AIRQO-67 UNIT ACTIVE,airqodata02,AirQo unit with dual pms5003 sensors Mbuya,[],Unknown
311,21,2442950,IOT-CSE,mwa0000033092783,IOT LAB WORKS,[],Unknown
312,21,1375652,Dew Point Measurement,mwa0000020318204,Luke Mulholland (C20778135) Week 1 ThingSpeak,[],Unknown
313,21,2532495,AIRQO_G5326,airqodata02,GEN 6 DEVICE FOR GAS SENSORING,[],gas
314,21,2342313,Analiza date,Andrei,Analizez datele istorice captate de la senzor,[],Unknown
315,21,1682748,Dew Point Measurement,gwilkins,"This is an example, for ECG 695 Homework 4 (Undergrad Level)",[],Unknown
316,22,1149132,Real-Time Unsupervis...,xiaoxing55,"Real-Time Noise Detection on Raspberry Pi Using Deep Signal Anomaly Detector
https://jp.mathworks.com/help/deeplearning/ug/real-time-noise-detection-on-a-raspberry-pi-using-deep-signal-anomaly-detector.html",[],Unknown
317,22,2547016,srinath,mwa0000033453096,ss,[],Unknown
318,22,870142,AIRQO-58 UNIT ACTIVE,airqodata02,AirQo unit with dual pms5003 sensor Kabumbi Nansana,[],Unknown
319,22,1014689,AIRQO-93 UNIT ACTIVE,airqodata02,AirQo Gen4 unit at masaka,[],Unknown
320,22,755609,AIRQO-WB41 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Kabale,[],Unknown
321,22,1375499,AIRQO-G530 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,[],Unknown
322,22,1375490,AIRQO-G522 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor Kirinya COU p/s,[],Unknown
323,22,1105504,ADITYA,adityabec303,18BEC0303,[],Unknown
324,22,676000,AIRQO-WB10 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Fortportal,[],Unknown
325,22,967593,AIRQO-82 UNIT ACTIVE,airqodata02,AirQo Gen4 unit,[],Unknown
326,22,1014688,AIRQO-92 UNIT ACTIVE,airqodata02,AirQo Gen4 unit,[],Unknown
327,22,3000921,airqo_g5545,airqodata02,Bishop Stuart University Mbarara,[],Unknown
328,22,2532675,AirQo G5328,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
329,22,1623468,Birdhouse3,mwa0000020729957,,['birdhouse'],Unknown
330,22,2539218,AIRQO_G5339,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
331,23,1375492,AIRQO-G524 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,[],Unknown
332,23,2650152,AIRQO_G5373,airqodata02,Victoria S,[],Unknown
333,23,718028,AIRQO-WB29 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Victoria S,[],Unknown
334,23,1379969,AIRQO-G535 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor,[],Unknown
335,23,1951151,Airqo_G5114,airqodata02,Layibi Techo Health Centre III,[],Unknown
336,23,1676740,"Force, Heat Index an...",mwa0000021466778,"Calculating the force generated by the wind, heat index generated by the temperature and humidity and the wind pressure",[],"temperature, temp, humidity, pressure"
337,23,2084581,AirQo-G5156,airqodata02,Air quality monitor for kuoyo health centre,[],air quality
338,23,1373037,AIRQO-G517 UNIT ACTIVE,airqodata02,AirQo Gen5 monitor,[],Unknown
339,23,3241281,青山天主教小學  2026 香港創科展 ...,mwa0000032996964,CPCPS 2026 - 綠色守護者 - 戶外空氣質素檢測及潔淨系統,[],Unknown
340,23,1192541,BAM MUK,airqodata02,Bam Data collection channel @ Makerere university,[],Unknown
341,23,3269543,Pharmacy Temperatur...,mwa0000040474193,Creating : Pharmacy Temperature Monitoring,[],"temperature, temp"
342,23,1290038,AIRQO-G502 UNIT ACTIVE,airqodata02,gen5 device,[],Unknown
343,23,3269691,DHT11_chahat,mwa0000040506136,Streaming sensor data,[],Unknown
344,23,2084571,AirQo-G5149,airqodata02,Geohealth Hub Nairobi BAM,[],Unknown
345,23,2411655,Dew Point Measurement,mwa0000031767469,Test Channel 001,[],Unknown
346,24,989035,Dew point Measurement,moubag,This is a test (Collect data in a channel,[],Unknown
347,24,3269657,Piyush,mwa0000040506007,streaming sensor data,[],Unknown
348,24,870146,AIRQO-62 UNIT ACTIVE,airqodata02,AirQo unit with dual pms5003 sensor Cocis,[],Unknown
349,24,2258307,Kotimäentie,mwa0000030995813,Datalog,[],Unknown
350,24,3269630,DHT11_Akshat,mwa0000040505905,Streaming sensor data,[],Unknown
351,24,1351540,AIRQO-G508 UNIT ACTIVE,airqodata02,AirQo Generation 5 monitor Kampala Quality p/s,[],Unknown
352,24,3082586,THESIS system 2,mwa0000038045794,Thesis System 2 monitoring channel,[],Unknown
353,24,3269622,DHT11_JASPREET,mwa0000040505854,Streaming Sensor Data,[],Unknown
354,24,3267526,Acuicola Joel,AquaAlert,"Granja acuicola de camaron en el Tigre, Navolato.",[],Unknown
355,24,3269601,Hygiene Monitoring S...,mwa0000040196638,Check hygiene level,[],Unknown
356,24,1789249,Data Communication A...,mwa0000023024955,"Analyze the relationship between air density with temperature, pressure and humidity. To discuss the importance of air density in various of application.",[],"temperature, temp, humidity, pressure"
357,24,3269402,IOT FLOOD MONITORING...,mwa0000040505272,IOT FLOOD MONITORING SYSTEM,[],Unknown
358,24,655398,Sauna + Keittiö,ruunula,Saunan tiedot,[],Unknown
359,24,3174173,Sensor data from AM2302,mwa0000039687580,Temperature & humidity data at 15 second intervals,[],"temperature, temp, humidity"
360,24,1880565,BeeFamily,mwa0000027757584,Beehives Scales,[],Unknown
361,25,2980109,Dew Point Measurement,YuntianWu,Example of ThingSpeak tutorial,[],Unknown
362,25,3269513,Rahul Yadav,mwa0000040505503,Streaming Sensor data,[],Unknown
363,25,1934716,IOT  WEATHER MONITRO...,mwa0000028312260,IOT  WEATHER MONITROING  SYSTEM,[],Unknown
364,25,3260652,"e06,e19",mwa0000035522927,humidity using the node mcu,[],humidity
365,25,3269455,temp & humidity,mwa0000034327204,exp-10,[],Unknown
366,25,3269441,web training channel,mwa0000037834935,none,[],Unknown
367,25,3269433,IoT_Based_Projects,mwa0000037711823,iot based projects,[],Unknown
368,25,3237210,Mouse Trap,mwa0000040238804,intelligent mouse trap that detects and notifies user remotely,[],Unknown
369,25,3269396,Temp&Humi,mwa0000034327502,sending temp and hum readings,[],temp
370,25,3269428,DHT11_Aman,mwa0000038536523,Streaming Sensor Data,[],Unknown
371,25,1271430,Birdhouse2,mwa0000020729957,,['birdhouse'],Unknown
372,25,3269198,Estación,mwa0000030803867,Estación 1,[],Unknown
373,25,2874898,airqo_g5477,airqodata02,Katukuru Primary School,[],Unknown
374,25,3175302,BragerOne,mwa0000039691603,Parametry z pieca,[],Unknown
375,25,3269310,DHT11_Akshita,mwa0000040504951,Streaming sensor data,[],Unknown
376,26,1874809,Airqo_G5101,airqodata02,"Water and Environment House, Luzira Kampala",[],water
377,26,3269271,najm RR2501R_PA,mwa0000040382621,,['rr2501q/r_pa'],Unknown
378,26,3269269,RizqHaziq_RR2501R_pa,mwa0000040382637,,['rr2501q/r_pa'],Unknown
379,26,3269268,Rezky_RR2501R_PA,mwa0000040382620,,['rr2501r/q'],Unknown
380,26,3269266,syabil_RR2501R_PA,mwa0000040382600,,['rr2501q/r_pa'],Unknown
381,26,3269265,Maerijam_RR2501Q_PA,mwa0000040382626,,['rr2501q/r_pa'],Unknown
382,26,3269261,Hannah_RR2501Q_PA,mwa0000040382627,,['rr2501q/r_pa'],Unknown
383,26,1801019,SDS011 sensor (Air Q...,mwa0000023022422,"UCSI University,
Data Communication & Networks Assignment",[],Unknown
384,26,3269262,putra_RR2501R_PA,mwa0000040382632,,['rr2501q/r_pa'],Unknown
385,26,3269260,maisara_RR2501Q`_PA,mwa0000040382619,,['rr2501q/r_pa'],Unknown
386,26,3269254,baqie_rr2501r_pa,mwa0000040382610,,['rr2501q/r_pa'],Unknown
387,26,3269249,Darren_RR2501Q _PA,mwa0000040441191,,['rr2501q/r_pa'],Unknown
388,26,3269250,Norman_RR2501R_PA,mwa0000040440971,,['rr2501q/r_pa'],Unknown
389,26,3269244,Sheryl_RR2501Q_PA,mwa0000040382618,,['rr2501q/r_pa'],Unknown
390,26,3269245,PangHuiYu_RR2501Q_PA,mwa0000040382609,,['rr2501q/r_pa'],Unknown
391,27,3269247,faqrul_RR2501R_PA,mwa0000040382612,,['rr2501q/r_pa'],Unknown
392,27,3252489,Sheryl_RR2501Q,mwa0000040382618,,['rr2501q/r'],Unknown
393,27,3269242,Brian_RR2501R_PA,mwa0000040382624,,['rr2501q/r_pa'],Unknown
394,27,3269241,Noor Shahila_RR2501Q_PA,mwa0000040382623,,['rr2501q/r_pa'],Unknown
395,27,3269235,KahWai_RR2501Q_PA,mwa0000040382615,,['rr2501q/r_pa'],Unknown
396,27,3269234,Anson_LauRR2501Q_PA,mwa0000040382598,,['rr2501q/r_pa'],Unknown
397,27,3258987,iot Monitoring,mwa0000040428857,egg?,[],Unknown
398,27,368850,Home [fridge + CO2],nostrebor,"Fridge
CO2
Electricity meter",[],co2
399,27,3269211,sistema de seguridad...,mwa0000040381920,sistema de seguridad por medio de señales de rebote de ondas ultrasonicas etc.,[],ultrasonic
400,27,1373040,AIRQO-G520 UNIT ACTIVE,airqodata02,"Gen5 device, auto safety garage waigalo,makindye",[],Unknown
401,27,2986051,Jake's,mwa0000037954217,skleník,[],Unknown
402,27,2539357,AIRQO_G5346,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
403,27,2007162,1nce-1-Caldaia-ore g...,mwa0000024864411,1nce-1-Caldaia-ore giorno ch 2007162,[],Unknown
404,27,2472295,Environmental System...,mwa0000033001169,"Tracks real-time environmental conditions. It collects data on temperature (Fahrenheit and Celsius), humidity, air pressure,and PM2.5 concentration. To analyse the air density, and Air Quality Index (AQI).",[],"temperature, temp, humidity, pressure, air quality"
405,27,1250139,Koti kosteus,klkklk,Kosteusmittareiden data,[],Unknown
406,28,3258534,Bernal & Cabanban,mwa0000040418831,DHT22 measurement,[],dht22
407,28,3254985,Smart Agriculture We...,mwa0000035937263,"Monitoring temperature, humidity, soil moisture, rainfall and npk content of soil using ESP32",[],"temperature, temp, humidity, rain, soil, moisture"
408,28,689530,AIRQO-WB18 UNIT ACTIVE,airqodata02,"Pramukh steel, Jinja, operation offices",[],Unknown
409,28,1642904,Temperature,mwa0000025447154,Cabin_Readings,[],Unknown
410,28,3269157,OAP,mwa0000031763986,ULTIMA PRACTICA DE DOMOTICA  CON ESP32  +7SEGMENTOS +UN LED,[],Unknown
411,28,2832048,LUNA.FILHO,mwa0000036770501,teste de api,[],Unknown
412,28,781815,TFSAS2,jtbthe3,,['tfsas2'],Unknown
413,28,2532689,AIRQO_G5330,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
414,28,21450,21450 Weather,trickedj,Iot Weather Data,[],Unknown
415,28,3269124,ODS 12 SISTEMA INTEL...,mwa0000040502341,"Busca la promocion acerca de los residuos que son reciclados no sean acumulados evitando asi bausra excesiva, promoviendo asi mismo el reciclaje.",[],Unknown
416,28,3269113,Monitoreo energético...,mwa0000040502257,Sistema de medición inteligente de consumo eléctrico para la gestión eficiente de la energía,[],Unknown
417,28,3269125,Sintra Bajos Stark,mwa0000040502276,Plataforma IOT,[],Unknown
418,28,3269116,Disminución de daños...,mwa0000040502334,"Con ayuda de un sensor de nivel de agua nos indicará cuando la marea sea alta y nos dará una señal de inundación, para prevenir riesgos a las estructuras de las viviendas .      Equipo: Israel, Andrik, Alberto, Enrique",[],Unknown
419,28,3269111,Sistemas Embebidos,mwa0000038303116,"Lectura de sensores en tiempo real para la eficiencia de la distribución del alumbrado público, proyecto creado para la materia de sistemas embebidos aplicada.
EQUIPO: Israel, Enrique, Adrick y Alberto",[],Unknown
420,28,3269117,Monitoreo y Separaci...,mwa0000040502265,"Los residuos sólidos de un taller automotriz correrán sobre una banda transportadora hasta encontrarse con un sensor que detectará el tipo de residuo (metálico o plástico) y procederá a separarlo en el respectivo contenedor.
Dicho contenedor contendrá un",[],Unknown
421,29,3269114,Consumo de Energía E...,mwa0000040502256,Monitorización de Energía basado en IoT para Smart Grid (alineado al ODS 7),[],Unknown
422,29,3269112,Pharmacy Temperature...,mwa0000040426107,Pharmacy Temperature Monitoring,[],"temperature, temp"
423,29,2539216,AIRQO_G5337,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
424,29,2532699,AIRQO_G5332,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
425,29,2532697,AIRQO_G5331,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
426,29,30636,30636 Iot Device Status,trickedj,IoT Data Feed,[],Unknown
427,29,26307,26307 Greenhouse,trickedj,Greenhouse,[],Unknown
428,29,665232,Teploty Doma,aa226181,"Teploty vzduchu, radiátoru a venkovní teplota",[],Unknown
429,29,2823977,Estação Meteorológic...,mwa0000036688962,"Temperatura, Umidade,  Pressão Atmosférica e radiação UV.",[],temp
430,29,70551,Hyperlien,mathgonma,Mesure de températures dans différentes zones d'Hyperline,[],temp
431,29,3269027,Weather 874,mwa0000040501214,Weather Station details,[],Unknown
432,29,2145276,Heltec Sensor readi...,andtit,Lora module Heltec Mesh readings,[],Unknown
433,29,3268972,DHT11_Bhumika,mwa0000040500732,Streaming Sensor Data,[],Unknown
434,29,3258454,riego solar automati...,mwa0000040426300,1 sensor,[],Unknown
435,29,3258537,Drona & Vicente WokWi,mwa0000040428117,DHT22 Measurement,[],dht22
436,30,3268891,Environmental Teleme...,mwa0000032285063,"This channel collects and analyzes real-time environmental data acquired from an ESP32-based multi-sensor system. Measurements include temperature, humidity, atmospheric pressure, altitude, light intensity, and geographic coordinates.

The system is des",[],"temperature, temp, humidity, pressure, light"
437,30,737276,AIRQO-WB39 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Lubaga Kabusu,[],Unknown
438,30,3268927,Project2_Temp_humidi...,mwa0000005125550,project 2,[],Unknown
439,30,3264698,dht11,mwa0000040425107,temperature monitor,[],"temperature, temp"
440,30,2532718,AIRQO_G5336,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED kawempe Division office,[],Unknown
441,30,778651,ITEMS-Actuator,cant5533,Actuator channel,[],Unknown
442,30,778655,ITEMS-ExternalData,cant5533,External data imported,[],Unknown
443,30,3268863,IoT Weather Station,mwa0000040434055,Arduino IoT humidity data,[],humidity
444,30,3268869,DSB WIFI TI 244/3268869,mwa0000040499323,Nextcon LTDA,[],Unknown
445,30,3268867,DSB WIFI TI 244/3268867,mwa0000040499323,Nextcon LTDA,[],Unknown
446,30,3268866,DSB WIFI TI 244/3268866,mwa0000040499323,Nextcon LTDA,[],Unknown
447,30,1801374,Wind Power Monitoring,mwa0000019023350,Monitor wind speed and carry out analysis for wind turbine generation: BEE3033 Assignment Project,[],Unknown
448,30,3268838,ESP8266,mwa0000040498654,ESP8266 and DHT11,[],dht11
449,30,3120412,ESTACIÓN METEOROLÓGI...,mwa0000038299967,EXTENSIÓN DE LA MISMA ESTACIÓN!!!,[],Unknown
450,30,2539226,AIRQO_G5342,airqodata02,GEN 6 DEVICE WITH FOTA ENABLED,[],Unknown
451,31,672528,AIRQO-WB4 UNIT ACTIVE,airqodata02,AIRQO UNIT with PMS5003 Rubirizi,[],Unknown
452,31,3258184,ThingspeakIoTFrontie...,mwa0000040420659,DHT22 measurement,[],dht22
453,31,3265491,SRE KUMARAN GRAND WA...,mwa0000040473418,"Filed 1 - SUMP
Field 2 - OH Tank",[],Unknown
454,31,3268715,IOT WEATHER STATION,mwa0000040433843,AURDINO IOT HUMIDITY DATA,[],humidity
455,31,3257644,Iot frontier 1,mwa0000040418864,DHT22 measurement,[],dht22
456,31,3259817,Temperature Monitoring,mwa0000040433843,Arduino IOT temperature /humidity data,[],"temperature, temp, humidity"
457,31,2421168,Stromzähler,hoteloskar,"Stromverbrauch pro Tag, geliefert aus der entspr. homematic Systemvariablen",[],Unknown
458,31,2436916,Weather Monitoring,mwa0000033028797,Team Blaze,[],Unknown
459,31,3268672,Sudheer-DHT11,mwa0000038331461,Measurement of temperature and humidity,[],"temperature, temp, humidity"
460,31,3264769,Ultrasonic sensor,mwa0000040418713,Ultrasonic sensor,[],ultrasonic
461,31,2511329,Dew Point Measurement,mwa0000033724908,Temperature,[],"temperature, temp"
462,31,3268594,IOT_DTH11,mwa0000038210601,Measurement of temperature and humidity,[],"temperature, temp, humidity"
463,31,3268600,LokeshkumarDHT11,mwa0000040497374,Measurement of Temperature and Humidity,[],"temperature, temp, humidity"
464,31,3268593,Aish_DHT11,mwa0000038331894,"Temperature measurement 
Humidity measurement",[],"temperature, temp, humidity"
465,31,3268606,VijendrababuDTH11,mwa0000038331529,Measurement of temperature and humidity,[],"temperature, temp, humidity"
466,32,3268629,Sudheer-DTH11,mwa0000038331461,Measurement of temperature and humidity,[],"temperature, temp, humidity"
467,32,3268602,Satvik Donuri-Dth 11,mwa0000038187607,Measurement of temperature and humidity,[],"temperature, temp, humidity"
468,32,3268604,DHT11,mwa0000038331483,Measuring Temperature and Humidity,[],"temperature, temp, humidity"
469,32,3268584,Temprature and Humid...,mwa0000038187814,Measurement of temperature and humidity,[],"temperature, temp, humidity"
470,32,3268598,DHT11,mwa0000038414578,Measuring temperature and humidity,[],"temperature, temp, humidity"
471,32,3268599,Manikanta dth11,mwa0000038187809,Measurement of temperature and humidity,[],"temperature, temp, humidity"
472,32,3268592,Sudheer-DTH11,mwa0000038331461,Measurement of temperature and humidity,[],"temperature, temp, humidity"
